Captain Ziploc,William Despard, Wazabi Gaming, Canada,Jungler
Chorong,Andy Hoang, Dream Team, Canada,Top
ChumpJohn,Johnson Ranta, Galactic Gamers, Canada,Top
Darshan,Darshan Upadhyaya, Counter Logic Gaming, Canada,Top
DontMashMe,Brandon Phan, Team Impulse, Canada,AD
Doomtrobo,Dominic Gilbert-Julien, DatZit Gaming Fire, Canada,Jungler
Empt2,Leung Anson Tsz Ho (___), No Game No Life, Canada,Jungler
Hard,Anthony Barkhovtsev, Echo Fox, Canada,Jungler
HotshotGG,George Georgallidis, Counter Logic Gaming, Canada,Manager
Innox,Tyson Kapler, CLG Black, Canada,Mid
Maplestreet,Ainslie Wyllie, Frank Fang Gaming, Canada,AD
Razleplasm,Barento Mohammed, Team Dignitas, Canada,Coach
Big ol Ron,Ryan Ballard, Stars eSports Club, Canada,Top
Shiphtur,Danny Le, Team Dignitas, Canada,Mid
Smoothie,Andy Ta, Team Liquid Academy, Canada,Support
TheOddOne,Brian Wyllie, Team SoloMid, Canada,Jungler
Trance,Lawrence Amador, Team Dragon Knights, Canada,Support
WildTurtle,Jason Tran, Immortals, Canada,AD
zig,Derek Shao, Team Liquid Academy, Canada,Top
Advanze,Felipe Guajardo, Freedom Dive, Chile,Jungle
Clatos,Claudio Navarrete, Isurus Gaming, Chile,
EduardoFilopo,Eduardo Acuña, Cursed Giants, Chile,Mid
Emp,Benjamin Ramirez, Isurus Gaming, Chile,Mid
Focho,Matias Porto, Last Kings, Chile,Jungle
Gos,Gerardo Morales, Nocturns Gaming, Chile,Mid
Helior,Felipe Alejandro Pastenes Ayca, Kaos Latin Gamers, Chile,Top
iBreak,Axel Felipe Arévalo, Bencheados, Chile,Jungle
Juliostito,Julio Alejandro Berrios Berrios, Kaos Latin Gamers, Chile,Jungler
Kaoz,Nicolás Gutiérrez, Hafnet eSports, Chile,Sub
Misfits,Jonathan Varas Muñoz, Kaos Latin Gamers, Chile,Sub
Ominator,Luciano Lambelet, Bencheados, Chile,Support
Pride,Franco Sanzana, Isurus Gaming, Chile,Top
Quaker,Nicolas Lagos, Rebirth eSports, Chile,Jungler
Rakyl,Fernando Naranjo, Beast Mode, Chile,Jungle
Rakyz,Vicente Trautmann, Last Kings, Chile,Mid
Slater,Sergio Cuadra Bastias, myRevenge Chile, Chile,Support
Slow,Eduardo Garcés, Rebirth eSports, Chile,Support
Vendetta,Diego Ramirez, Bencheados, Chile,Top
Warangelus,Fabián Llanos, Hafnet eSports, Chile,Mid
xBravo,Bastian Bravo, Bencheados, Chile,Sub
Zeicro,Juan Mauricio Fierro Quiroz, Isurus Gaming, Chile,AD
5,Liu Shi-yu (___), Oh My God, China,Support
957,Ke Chang-Yu (___), Team WE, China,Top
Aaron,Ji Xing (__), EDward Gaming, China,Coach
Aluka,Peng Zhen-Ming (___), Team WE, China,Top
Ao,Xue Chang-Jun (___), ZTR Gaming, China,AD
BAKA,Lu Fan (__), Snake eSports, China,Mid
BSYY,Luo Sheng (__), Oh My God, China,Coach
Bao,Zhang Jia-Zhi (___), Royal Club, China,Sub
beibei,Meng Zhang, Team Impulse, China,Jungler
bei,Zhang Yu-Ze (___), Oh My God, China,AD
BoBo,He Wen-Bo (___), Star Horn Royal Club, China,AD
CCCLLL,Chen Long (__), Team WE Future, China,Top
Candy,Tang Xin (__), Newbee Young, China,AD
CaoMei,Wei Handong (___), Team WE, China,Coach
Carry,Wang Zu-Jing (___), Unlimited Potential, China,Top
caveMan,Duan De-Liang (___), Vici Gaming, China,Support
ClearLove,Ming Kai (__), EDward Gaming, China,Jungler
Cola,Jiang Na (__), ZTR Gaming, China,Top
Conan,Ke Yi (__), Team WE, China,Support
Condi,Xiang Ren-Jie (___), Team WE, China,Jungler
Cool,Yu Jia-Jun (___), Oh My God, China,Mid
corn,Lei Wen (__), Star Horn Royal Club, China,Mid
crisis,Huang Zhen (__), Energy Pacemaker.All, China,Jungler
Danger,Wei Shao-jian (___), Gamtee, China,Jungler
Dark,Yang Ju-Bao(___), Oh My God, China,Top
Dgc,Chen Xu, Vici Gaming, China,Jungler
EShen,Fan Chao (__), Energy Pacemaker.All, China,Mid
Eimy,Xie Dan (__), LGD Gaming, China,Jungler
Endless,Xu Hao (__), Vici Gaming, China,Mid
Fan,Liu Yi-Fan (___), LGD Gaming, China,Support
Feng,Wang Xiao-Feng (___), Team Impulse, China,Top
fireloli,Zhao Zhi-Ming (___), EDward Gaming, China,Sub
FishBall,Wang Yu (__), Oh My God, China,Jungler
Flandre,Li Xuan-jun (___), Snake eSports, China,Top
Gate,Austin Yu, Team Impulse, China,Support
HYY,Zhai Wen-Han (___), Star Horn Royal Club, China,AD
HannitaH,Jianyu Zhou Zheng, Dimegio Club, China,Top
Hetong,Wang Bin (__), Unlimited Potential, China,Mid
hu1,Lei Hui-Guo (___), Star Horn Royal Club, China,Jungler
icon,Xie Tian-Yu (___), Oh My God, China,Mid
if,Cui Yi (__), STAR, China,Support
illuSioN,Chen Xin-Lin (___), Young Glory, China,Jungler
Jiaoyang,Xin Chen (__), Unlimited Potential, China,Mid
Jia,Peng Jia-Wei (___), Snake eSports, China,Support
JieZou,Xia Heng (__), Energy Pacemaker.All, China,Support
Jinjiao,Xie JinShan (___), EDward Esports, China,AD
JokerJ,Xu Fei (__), Team WE, China,
Jun,Chen Lin-Jun (___), Snake eSports, China,Coach
kRYST4L,Yang Fan (__), Snake eSports, China,AD
Kid,Ge Yan (__), Invictus Gaming, China,Jungler
Kitties,Liu Hong-Jun (___), Invictus Gaming, China,Support
Koro1,Tong Yang (__), EDward Gaming, China,Top
LetMe,Yan Jun-Ze (___), Royal Never Give Up, China,Top
Leyn,Le Yi (__), Royal Never Give Up, China,Support
Loong,Zhu Xiao-Long (___), Vici Gaming, China,Top
LoveCD,Li Jun-Feng (___), Masters 3, China,Support
Lucky,Liu Jun-Jie (___), Royal Club, China,Jungler
Luo,Luo Ci-rui (___), Oh My God, China,Support
Luo,Yin Peng (__), Newbee Young, China,Mid
Lvmao,Zuo Ming-Hao (___), ZTR Gaming, China,Support
Marbee,Xie Kui (__), AD Gaming, China,AD
march,Ye Jia-Bin (___), Hyper Youth Gaming, China,Jungler
Martin,Tan Qi (__), Snake eSports, China,AD
Massacre,"Li Yu ""Cody"" Sun", Dream Team, China,AD
Meiko,Tian Ye (__), EDward Gaming, China,Support
Ming,Shi Sen-Ming (___), Young Miracles, China,Support
Miss,Han Yi-Ying (___), Energy Pacemaker, China,Mid
Mlxg,Liu Shi-yu (___), Royal Never Give Up, China,Jungler
Moon,Gu-Yue Ze-Yu (____), Energy Pacemaker.All, China,AD
Mortred,Huang Zi-Kun (___), Qiao Gu Reapers, China,Mid
Mor,Zhang Hong-Wei (___), Qiao Gu Reapers, China,Support
Mouse,Chen Yu-Hao (___), EDward Gaming, China,Sub
mo,Cai Bo (__), Invictus Gaming, China,Support
mrsj,Chen Zhi-Yuan (___), Team WE, China,Mid
NaMei,Zhu Jia-Wen (___), Royal Never Give Up, China,AD
Ning,Gao Zhen-Ning (___), Young Miracles, China,AD
PDD,Liu Mou (__), Young Miracles, China,Top
Peco,Yu Rui (__), Qiao Gu Reapers, China,AD
Peng,Peng Yi-Bo (___), Unlimited Potential, China,Mid
PentaQ,Xu Ming-Shu (___), Masters 3, China,AD
Punished,Li Yuan-Hui (___), Vici Gaming, China,Mid
Pyl,Chen Bo (__), LGD Gaming, China,Support
qixiaoyin,Wang Jia-Chao (___), AD Gaming, China,Jungler
Quan,Zhu Yong-Quan (___), Oh My God, China,Jungler
Rabbit97,He Zhi-Hong (___), Energy Pacemaker.All, China,Jungler
Romantic,Zhang Cheng (__), Energy Pacemaker.All, China,Mid
rq,Qin Bo-Han (___), EDward Gaming, China,Sub
Rui,Wang Xing-Rui (___), ShowTime, China,Support
S1mLz,Han Jin (__), Oh My God, China,AD
Sask,Zhou Yi-Xiang (___), Royal Never Give Up, China,Mid
Savoki,Jin Hao (__), Masters 3, China,Support
Scenery,Yan Hong (__), Masters 3, China,Jungler
Shine,Chen Yang (__), AD Gaming, China,Support
SinkDream,Dong Shi-chun (___), ZTR Gaming, China,Support
Skye,Fan Qi-Fang (___), ZTR Gaming, China,Top
Soul,Zhou Feng (__), Energy Pacemaker.All, China,Support
ss17God,Xu Zhao (__), Hyper Youth Gaming, China,Top
Star,Fu Yang (__), Energy Pacemaker.All, China,Top
Sweet,Zhou Hao (__), EDward Esports, China,Sub
Tale,Zhao Xiao-yu (___), Oh My Dream, China,AD
Time,Tang Jin-Tai (___), Invictus Gaming, China,AD
Uzi,Jian Zi-Hao (___), Qiao Gu Reapers, China,AD
U,Ceng Long (__), Snake eSports, China,Mid
Vasilii,Li Wei-Jun (___), Vici Gaming, China,AD
Viper,He Hao (__), Young Miracles, China,Mid
V,Bao Bo (__), Qiao Gu Reapers, China,Top
We1less,Wei Zhen (__), LGD Gaming, China,Mid
World6,Chen Yu-Tian (___), Unlimited Potential, China,
WuShuang,Wang Hai-Li (___), Team WE, China,Jungler
wuxx,Wang Cheng (__), Royal Never Give Up, China,AD
x1u,Yu Jie (__), Hyper Youth Gaming, China,Support
XQ,Li Ying-Jie (___), Hyper Youth Gaming, China,AD
XiaoWeiXiao,Yu Xian (__), Oh My Dream, China,Mid
